epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.5168,2.25057,3.23849,1.17433,0.045,0.08688,0.04531,0.02414,2.14382,2.90486,1.14149,0.0673211,0.000164216,0.000164216
2,80.6548,2.13057,2.63804,1.12091,0.13248,0.0832,0.08116,0.04252,2.10025,2.32635,1.10625,0.0341479,0.000324331,0.000324331
3,116.84,2.12655,2.412,1.11232,0.25809,0.13097,0.09713,0.05551,1.98054,2.14323,1.10687,0.000968042,0.000477846,0.000477846
4,153.589,2.07344,2.29792,1.10217,0.26531,0.14289,0.10843,0.061,1.93716,2.01859,1.08076,0.0004703,0.0004703,0.0004703
5,190.243,2.00017,2.21919,1.08317,0.28798,0.18523,0.13789,0.08363,1.90181,1.92214,1.08953,0.0004604,0.0004604,0.0004604
6,226.254,1.96715,2.10705,1.07503,0.34078,0.21675,0.14601,0.08902,1.87505,1.94818,1.0731,0.0004505,0.0004505,0.0004505
7,263.586,1.98503,2.09013,1.07052,0.45058,0.21653,0.16979,0.10307,1.87651,1.89408,1.05,0.0004406,0.0004406,0.0004406
8,301.144,1.95695,2.06326,1.06623,0.4389,0.226,0.18655,0.11725,1.85724,1.78815,1.07057,0.0004307,0.0004307,0.0004307
9,339.2,1.91499,1.96051,1.04532,0.45479,0.21658,0.21234,0.13068,1.84803,1.79621,1.04837,0.0004208,0.0004208,0.0004208
10,375.497,1.9476,1.97826,1.05039,0.37705,0.28191,0.24037,0.15415,1.81846,1.69316,1.0467,0.0004109,0.0004109,0.0004109
11,412.329,1.91808,1.89792,1.04658,0.46494,0.2934,0.25275,0.16552,1.80128,1.7127,1.03841,0.000401,0.000401,0.000401
12,449.205,1.88601,1.88772,1.03703,0.37319,0.29732,0.27375,0.17975,1.79732,1.67438,1.02988,0.0003911,0.0003911,0.0003911
13,486.459,1.86947,1.83872,1.02583,0.31084,0.33701,0.27771,0.1773,1.82269,1.68096,1.03662,0.0003812,0.0003812,0.0003812
14,521.966,1.87748,1.80259,1.02244,0.41236,0.29644,0.29227,0.19207,1.77306,1.61855,1.0192,0.0003713,0.0003713,0.0003713
15,558.335,1.85885,1.78023,1.02166,0.40313,0.32281,0.3032,0.19817,1.74602,1.5942,1.01901,0.0003614,0.0003614,0.0003614
16,594.174,1.86798,1.75041,1.02631,0.35722,0.34039,0.33127,0.22527,1.73395,1.53057,1.01746,0.0003515,0.0003515,0.0003515
17,630.475,1.83639,1.70841,1.01873,0.42011,0.32332,0.33571,0.22815,1.73073,1.52368,1.01529,0.0003416,0.0003416,0.0003416
18,666.498,1.7987,1.69183,1.01584,0.38138,0.35411,0.34855,0.24066,1.72823,1.49667,1.01131,0.0003317,0.0003317,0.0003317
19,703.986,1.83062,1.66287,1.01695,0.47116,0.3725,0.36827,0.24871,1.70874,1.49954,1.01047,0.0003218,0.0003218,0.0003218
20,739.366,1.77575,1.62583,1.00924,0.44552,0.35783,0.36929,0.25641,1.70773,1.46163,1.01154,0.0003119,0.0003119,0.0003119
21,775.485,1.80365,1.64639,1.0015,0.52066,0.34484,0.37326,0.25995,1.70363,1.43776,1.00351,0.000302,0.000302,0.000302
22,811.221,1.80947,1.61293,1.00743,0.44016,0.35108,0.37308,0.25579,1.69492,1.45651,1.00184,0.0002921,0.0002921,0.0002921
23,846.901,1.8022,1.60467,1.00713,0.42317,0.37685,0.38063,0.23785,1.86229,1.47934,1.02815,0.0002822,0.0002822,0.0002822
24,881.934,1.76852,1.57867,1.00714,0.41837,0.37255,0.3961,0.26777,1.70424,1.4359,1.00036,0.0002723,0.0002723,0.0002723
25,918.102,1.75312,1.56125,0.9944,0.56754,0.37927,0.41766,0.29001,1.66202,1.37572,0.98937,0.0002624,0.0002624,0.0002624
26,953.276,1.76484,1.55421,0.99932,0.45631,0.39811,0.41473,0.28728,1.65526,1.37103,0.9911,0.0002525,0.0002525,0.0002525
27,988.904,1.76575,1.53942,0.99532,0.43298,0.40867,0.41115,0.27362,1.72753,1.39045,0.99656,0.0002426,0.0002426,0.0002426
28,1024.08,1.75157,1.53893,0.99351,0.46949,0.40489,0.42179,0.29122,1.65087,1.3625,0.99468,0.0002327,0.0002327,0.0002327
29,1059.38,1.72569,1.52579,0.99323,0.48719,0.41436,0.43966,0.30135,1.69952,1.37226,0.99095,0.0002228,0.0002228,0.0002228
30,1096.82,1.73985,1.50786,0.99246,0.46473,0.41006,0.43465,0.29363,1.69205,1.35288,0.99461,0.0002129,0.0002129,0.0002129
31,1131.36,1.72374,1.47733,0.97908,0.50436,0.4292,0.4457,0.31146,1.65128,1.30634,0.98895,0.000203,0.000203,0.000203
32,1167.18,1.73382,1.46322,0.9865,0.50424,0.42748,0.45211,0.31425,1.63163,1.30814,0.98204,0.0001931,0.0001931,0.0001931
33,1201.89,1.71865,1.44456,0.98357,0.49917,0.43798,0.45593,0.31337,1.65205,1.30364,0.98587,0.0001832,0.0001832,0.0001832
34,1237.29,1.73158,1.46086,0.98095,0.47368,0.44411,0.46269,0.31332,1.64519,1.32285,0.98224,0.0001733,0.0001733,0.0001733
35,1272.77,1.68644,1.43582,0.98401,0.50007,0.43553,0.45912,0.31908,1.61061,1.31815,0.97983,0.0001634,0.0001634,0.0001634
36,1307.22,1.71294,1.43771,0.9795,0.53115,0.44407,0.46477,0.32477,1.61674,1.29169,0.97873,0.0001535,0.0001535,0.0001535
37,1342.78,1.72902,1.45016,0.98083,0.5044,0.46162,0.47253,0.32331,1.64701,1.27885,0.97895,0.0001436,0.0001436,0.0001436
