epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,1377.53,1.72074,1.43331,0.98082,0.55425,0.4583,0.4867,0.3389,1.61591,1.27379,0.97515,0.0001337,0.0001337,0.0001337
39,1413.34,1.68546,1.40281,0.97308,0.54219,0.45791,0.48342,0.3403,1.60073,1.26481,0.97422,0.0001238,0.0001238,0.0001238
40,1448.83,1.67581,1.38982,0.97058,0.49813,0.45775,0.47867,0.33214,1.61936,1.27151,0.97543,0.0001139,0.0001139,0.0001139
41,1486.31,1.74676,1.58786,0.99392,0.48926,0.46228,0.47658,0.33033,1.61793,1.33117,0.98169,0.000104,0.000104,0.000104
42,1519.31,1.69122,1.5036,0.98234,0.5563,0.45645,0.48199,0.33553,1.61188,1.29171,0.97952,9.41e-05,9.41e-05,9.41e-05
43,1551.58,1.70017,1.48692,0.98732,0.55752,0.44491,0.47556,0.33153,1.61009,1.31705,0.97825,8.42e-05,8.42e-05,8.42e-05
44,1584.49,1.69319,1.45221,0.97757,0.50815,0.48345,0.4897,0.33457,1.62045,1.28833,0.97461,7.43e-05,7.43e-05,7.43e-05
45,1617.64,1.67214,1.42911,0.97777,0.5767,0.44593,0.48806,0.33836,1.606,1.27983,0.97777,6.44e-05,6.44e-05,6.44e-05
46,1650.16,1.66203,1.43403,0.97727,0.54971,0.46336,0.49407,0.34172,1.60188,1.26738,0.97373,5.45e-05,5.45e-05,5.45e-05
47,1682.87,1.65325,1.40926,0.97419,0.58001,0.45899,0.49836,0.34574,1.60856,1.2697,0.9746,4.46e-05,4.46e-05,4.46e-05
48,1716.9,1.66721,1.41362,0.97369,0.55488,0.47882,0.50207,0.3513,1.59568,1.2605,0.97234,3.47e-05,3.47e-05,3.47e-05
49,1748.84,1.64355,1.38086,0.96764,0.51518,0.51181,0.50725,0.35254,1.59688,1.24773,0.97209,2.48e-05,2.48e-05,2.48e-05
50,1782.09,1.6498,1.41588,0.96942,0.52007,0.49778,0.50647,0.35363,1.59262,1.24745,0.97143,1.49e-05,1.49e-05,1.49e-05
